SEASON,TRIPS,FISHERS,DAYS_AT_SEA,FISHING_DAYS,VESSELS,HOURS_FISHED,ALL_SPECIES_KEPT,ALL_SPECIES_AVG_LBS_PIECE,ALL_SPECIES_EST_LBS_KEPT,ALL_SPECIES_AVG_PRICE_LB,ALL_SPECIES_EST_VALUE,DEEP7_KEPT,DEEP7_AVG_LBS_PIECE,DEEP7_EST_LBS_KEPT,DEEP7_AVG_PRICE_LB,DEEP7_EST_VALUE,DEEP8_14_KEPT,DEEP8_14_AVG_LBS_PIECE,DEEP8_14_EST_LBS_KEPT,DEEP8_14_AVG_PRICE_LB,DEEP8_14_EST_VALUE,NON_DEEP14_KEPT,NON_DEEP14_AVG_LBS_PIECE,NON_DEEP14_EST_LBS_KEPT,NON_DEEP14_AVG_PRICE_LB,NON_DEEP14_EST_VALUE,ONAGA_KEPT,ONAGA_AVG_LBS_PIECE,ONAGA_EST_LBS_KEPT,ONAGA_AVG_PRICE_LB,ONAGA_EST_VALUE,EHU_KEPT,EHU_AVG_LBS_PIECE,EHU_EST_LBS_KEPT,EHU_AVG_PRICE_LB,EHU_EST_VALUE,OPAKAPAKA_KEPT,OPAKAPAKA_AVG_LBS_PIECE,OPAKAPAKA_EST_LBS_KEPT,OPAKAPAKA_AVG_PRICE_LB,OPAKAPAKA_EST_VALUE,KALEKALE_KEPT,KALEKALE_AVG_LBS_PIECE,KALEKALE_EST_LBS_KEPT,KALEKALE_AVG_PRICE_LB,KALEKALE_EST_VALUE,GINDAI_KEPT,GINDAI_AVG_LBS_PIECE,GINDAI_EST_LBS_KEPT,GINDAI_AVG_PRICE_LB,GINDAI_EST_VALUE,HAPUUPUU_KEPT,HAPUUPUU_AVG_LBS_PIECE,HAPUUPUU_EST_LBS_KEPT,HAPUUPUU_AVG_PRICE_LB,HAPUUPUU_EST_VALUE,LEHI_KEPT,LEHI_AVG_LBS_PIECE,LEHI_EST_LBS_KEPT,LEHI_AVG_PRICE_LB,LEHI_EST_VALUE,YELLOW_KALEKALE_KEPT,YELLOW_KALEKALE_AVG_LBS_PIECE,YELLOW_KALEKALE_EST_LBS_KEPT,YELLOW_KALEKALE_AVG_PRICE_LB,YELLOW_KALEKALE_EST_VALUE,UKU_KEPT,UKU_AVG_LBS_PIECE,UKU_EST_LBS_KEPT,UKU_AVG_PRICE_LB,UKU_EST_VALUE,TAAPE_KEPT,TAAPE_AVG_LBS_PIECE,TAAPE_EST_LBS_KEPT,TAAPE_AVG_PRICE_LB,TAAPE_EST_VALUE,WHITE_ULUA_KEPT,WHITE_ULUA_AVG_LBS_PIECE,WHITE_ULUA_EST_LBS_KEPT,WHITE_ULUA_AVG_PRICE_LB,WHITE_ULUA_EST_VALUE,BLACK_ULUA_KEPT,BLACK_ULUA_AVG_LBS_PIECE,BLACK_ULUA_EST_LBS_KEPT,BLACK_ULUA_AVG_PRICE_LB,BLACK_ULUA_EST_VALUE,BUTAGUCHI_KEPT,BUTAGUCHI_AVG_LBS_PIECE,BUTAGUCHI_EST_LBS_KEPT,BUTAGUCHI_AVG_PRICE_LB,BUTAGUCHI_EST_VALUE,KAHALA_KEPT,KAHALA_AVG_LBS_PIECE,KAHALA_EST_LBS_KEPT,KAHALA_AVG_PRICE_LB,KAHALA_EST_VALUE
2002,"3,061",390,"3,269","3,202",560,"29,473","88,663",4,"353,269",4,"1,488,919","65,809",4,"239,846",5,"1,225,065","4,986",6,"30,444",3,"76,133","17,868",5,"82,979",2,"187,722","14,432",5,"71,547",6,"427,228","10,800",2,"19,481",5,"92,146","29,743",4,"113,786",5,"580,074","7,676",2,"13,615",3,"45,782","1,085",2,"2,273",4,"8,059",990,9,"9,172",4,"39,232","1,083",9,"9,971",3,"32,543",1,1,1,2,3,"2,198",8,"18,221",3,"52,104","2,016",1,"1,262",1,"1,794",53,18,973,2,"1,858",24,12,280,2,658,292,15,"4,307",3,"14,412",402,13,"5,400",1,"5,304"
2003,"2,873",347,"3,193","3,090",351,"74,773","77,062",4,"318,652",4,"1,425,613","60,151",4,"230,813",5,"1,220,920","3,624",6,"21,678",2,"54,014","13,287",5,"66,161",2,"150,679","13,979",5,"73,635",6,"450,513","8,349",2,"15,247",5,"74,799","29,712",4,"112,087",5,"585,552","5,328",2,"9,902",3,"31,794",859,2,"2,053",3,"6,697","1,039",9,"9,860",5,"45,539",885,9,"8,029",3,"26,025",0,,0,,0,"1,979",8,"15,149",3,"42,553","1,240",1,839,1,"1,213",38,10,396,2,736,16,14,218,2,451,170,16,"2,778",3,"7,489",181,13,"2,299",1,"1,573"
2004,"2,770",359,"3,023","2,974",377,"76,414","79,969",4,"323,012",5,"1,522,983","64,180",4,"228,027",6,"1,281,712","3,548",7,"26,344",3,"74,693","12,241",6,"68,641",2,"166,578","15,538",5,"84,321",7,"554,989","10,889",2,"20,850",5,"105,903","30,818",3,"99,816",5,"527,940","4,456",2,"7,354",4,"27,131",865,2,"1,767",4,"6,822",841,8,"7,058",5,"34,135",773,9,"6,861",4,"24,792",0,,0,,0,"2,567",8,"20,624",3,"64,996",553,1,323,2,535,38,9,347,2,801,12,13,159,2,374,95,18,"1,707",3,"5,420",283,11,"3,184",1,"2,566"
2005,"2,588",373,"2,827","2,717",380,"68,559","68,965",4,"283,745",5,"1,485,003","56,606",4,"210,338",6,"1,290,894","3,543",6,"19,780",3,"58,008","8,816",6,"53,626",3,"136,101","13,743",6,"77,888",7,"562,804","11,665",2,"21,767",6,"120,175","24,316",4,"85,692",6,"497,002","4,156",2,"7,288",4,"28,731",975,2,"1,955",4,"8,644","1,047",9,"9,539",5,"52,406",704,9,"6,210",3,"21,132",0,,0,,0,"1,760",8,"14,076",3,"49,112","1,272",1,826,1,"1,115",44,10,442,2,949,20,12,240,1,340,91,19,"1,723",3,"5,245",356,7,"2,472",1,"1,246"
2006,"2,399",331,"2,554","2,530",345,"53,961","62,446",4,"258,361",5,"1,371,558","47,838",4,"190,122",6,"1,179,440","3,337",5,"18,349",3,"60,706","11,271",4,"49,891",3,"131,413","12,331",6,"73,121",7,"540,361","8,132",2,"16,940",6,"100,265","22,135",4,"79,004",6,"452,535","2,896",2,"5,590",4,"21,230",776,2,"1,374",5,"6,236",729,10,"7,019",5,"34,882",839,8,"7,073",3,"23,930",12,1,14,4,54,"2,033",7,"15,171",4,"55,321","1,053",1,667,1,890,36,14,509,2,"1,270",13,11,137,2,314,22,19,411,3,"1,272",168,9,"1,440",1,"1,584"
2007,"1,221",255,"1,267","1,262",251,"29,183","32,544",4,"128,840",5,"695,907","24,558",4,"96,619",6,"601,650","1,379",5,"7,347",3,"24,642","6,607",4,"24,874",3,"69,615","5,537",6,"35,054",7,"257,643","4,375",2,"8,512",6,"48,374","11,554",4,"42,106",6,"248,331","1,506",2,"2,859",4,"10,851",692,2,"1,186",5,"5,455",454,7,"3,032",5,"16,290",440,9,"3,869",4,"14,706",0,,0,,0,746,8,"6,207",4,"22,266",563,1,342,1,501,58,10,598,2,"1,352",2,18,37,2,73,10,16,163,3,450,0,,0,,0
2007 - 2008,"2,340",351,"2,398","2,391",347,"64,063","61,519",4,"244,093",5,"1,330,123","49,368",4,"194,725",6,"1,193,551","3,420",6,"19,845",3,"55,159","8,731",3,"29,523",3,"81,413","9,257",6,"56,301",7,"406,436","7,944",2,"16,809",6,"92,466","25,689",4,"95,749",6,"575,062","3,167",2,"5,706",4,"21,765","1,269",2,"2,442",4,"10,927",609,11,"6,528",6,"41,603","1,433",8,"11,190",4,"45,291",0,,0,,0,"1,191",7,"8,573",4,"32,633","1,236",1,818,2,"1,241",64,10,621,2,"1,522",5,11,54,3,185,75,20,"1,532",3,"5,019",849,10,"8,248",2,"14,560"
2008 - 2009,"3,275",476,"3,361","3,345",470,"73,898","86,498",4,"351,055",5,"1,696,955","67,054",4,"255,668",6,"1,442,851","4,279",6,"24,794",3,"70,843","15,165",5,"70,594",3,"183,262","11,342",5,"60,753",7,"427,160","11,015",2,"24,344",6,"138,413","35,258",4,"133,576",5,"727,249","4,904",2,"8,752",4,"30,867","1,545",2,"3,447",5,"15,543",737,12,"8,829",5,"43,161","2,253",7,"15,966",4,"60,458",14,1,20,3,58,"2,204",8,"16,733",4,"58,690","1,355",1,835,2,"1,464",139,10,"1,373",2,"3,150",1,12,12,1,15,29,22,624,3,"2,159",537,10,"5,196",1,"5,307"
2009 - 2010,"2,792",460,"2,883","2,843",458,"68,471","82,799",3,"287,857",5,"1,493,523","56,942",4,"205,162",6,"1,250,103","7,110",4,"25,755",3,"77,579","18,747",3,"56,941",3,"165,842","11,176",5,"58,907",7,"424,470","11,480",2,"23,591",6,"135,797","27,196",4,"99,250",6,"589,664","4,430",2,"7,058",3,"24,420","1,250",2,"2,350",5,"10,792",730,11,"8,327",5,"41,687",680,8,"5,679",4,"23,273",17,1,21,2,50,"1,680",9,"14,351",4,"56,565","4,660",1,"3,038",2,"5,670",104,15,"1,595",2,"3,269",13,6,74,2,166,32,29,925,4,"3,421",604,10,"5,751",1,"8,439"
2010 - 2011,"3,431",471,"3,501","3,487",455,"82,576","102,209",3,"357,105",5,"1,861,789","74,871",4,"266,265",6,"1,573,009","8,962",4,"38,729",3,"117,160","18,376",3,"52,111",3,"171,620","12,686",5,"67,681",7,"471,661","11,095",2,"23,865",5,"129,887","42,380",3,"145,891",6,"845,271","5,458",2,"8,856",4,"32,382","1,339",2,"2,726",5,"12,463",759,10,"7,423",5,"40,463","1,154",9,"9,823",4,"40,881",14,1,18,2,41,"2,585",8,"19,686",4,"77,967","4,787",1,"3,004",2,"5,479",224,11,"2,521",2,"6,100",11,10,107,2,177,72,22,"1,594",3,"5,157","1,269",9,"11,799",2,"22,238"
2011 - 2012,"3,080",479,"3,909","3,400",471,"77,668","102,622",4,"379,111",5,"1,956,123","68,011",3,"230,802",6,"1,463,464","11,423",4,"42,975",3,"139,640","23,188",5,"105,335",3,"353,018","12,069",5,"57,669",8,"466,015","12,419",2,"26,181",6,"152,355","33,105",3,"112,836",6,"688,961","6,602",2,"11,912",4,"49,037","1,756",2,"3,800",5,"17,905","1,140",9,"10,432",5,"52,889",920,9,"7,970",5,"36,302",18,1,21,4,77,"2,428",8,"20,602",5,"92,856","7,930",1,"4,809",2,"9,138",155,11,"1,720",3,"5,072",15,6,83,3,267,47,23,"1,070",4,"4,585",830,18,"14,670",2,"27,645"
2012 - 2013,"2,979",459,"3,697","3,314",450,"81,977","104,243",4,"406,753",5,"2,226,560","68,441",4,"240,677",7,"1,649,168","8,590",5,"45,200",3,"157,144","27,212",4,"120,876",3,"420,249","13,965",5,"69,294",8,"568,371","14,437",2,"30,758",6,"194,025","29,196",3,"102,161",7,"696,323","6,783",2,"12,191",4,"51,746","1,551",2,"3,355",5,"17,530",872,12,"10,237",6,"58,889","1,637",8,"12,681",5,"62,284",29,1,43,4,171,"3,773",7,"27,860",4,"121,112","3,586",1,"2,034",2,"4,445",220,12,"2,721",3,"7,653",34,5,169,3,443,58,14,836,5,"3,812",890,13,"11,537",2,"19,508"
2013 - 2014,"3,174",423,"3,853","3,440",422,"84,005","122,335",4,"468,924",6,"2,581,447","90,296",3,"306,257",7,"2,037,227","5,955",6,"34,746",4,"133,159","26,084",5,"127,921",3,"411,062","15,209",5,"73,397",8,"583,143","13,847",2,"31,691",6,"182,346","47,168",3,"159,218",7,"1,086,058","10,460",2,"19,722",4,"77,361","1,686",2,"3,958",5,"18,504",820,14,"11,234",5,"59,655","1,106",6,"7,037",4,"30,160",3,2,5,3,17,"2,969",8,"22,966",4,"101,125","2,217",1,"1,497",2,"2,798",151,14,"2,143",3,"6,553",8,7,58,2,138,19,28,528,3,"1,341",588,13,"7,550",3,"21,186"
2014 - 2015,"2,887",410,"3,458","3,116",410,"73,098","122,813",4,"480,389",6,"2,646,761","90,790",3,"306,604",7,"2,078,676","7,769",6,"49,026",4,"181,404","24,254",5,"124,759",3,"386,681","15,389",5,"79,166",8,"657,202","14,349",2,"32,125",6,"191,492","47,287",3,"152,508",7,"1,028,692","10,236",2,"17,993",4,"68,934","1,240",2,"2,928",5,"14,087",735,14,"10,391",6,"60,043","1,554",7,"11,492",5,"58,226",20,2,32,3,82,"4,203",8,"32,612",5,"148,939","2,423",1,"1,493",2,"2,996",107,10,"1,117",3,"3,341",9,4,33,2,68,15,29,431,4,"1,577",992,13,"13,309",2,"24,400"
