SEASON,CML,FISHING_DAYS.2022,DAYS_AT_SEA.2022,FISHERS.2022,VESSELS.2022,TRIPS.2022,HOURS_FISHED.2022,VESSEL.2022,ONAGA_KEPT.2022,ONAGA_AVG_LBS_PIECE.2022,ONAGA_EST_LBS_KEPT.2022,ONAGA_AVG_PRICE_LB.2022,ONAGA_EST_VALUE.2022,EHU_KEPT.2022,EHU_AVG_LBS_PIECE.2022,EHU_EST_LBS_KEPT.2022,EHU_AVG_PRICE_LB.2022,EHU_EST_VALUE.2022,OPAKAPAKA_KEPT.2022,OPAKAPAKA_AVG_LBS_PIECE.2022,OPAKAPAKA_EST_LBS_KEPT.2022,OPAKAPAKA_AVG_PRICE_LB.2022,OPAKAPAKA_EST_VALUE.2022,KALEKALE_KEPT.2022,KALEKALE_AVG_LBS_PIECE.2022,KALEKALE_EST_LBS_KEPT.2022,KALEKALE_AVG_PRICE_LB.2022,KALEKALE_EST_VALUE.2022,GINDAI_KEPT.2022,GINDAI_AVG_LBS_PIECE.2022,GINDAI_EST_LBS_KEPT.2022,GINDAI_AVG_PRICE_LB.2022,GINDAI_EST_VALUE.2022,HAPUUPUU_KEPT.2022,HAPUUPUU_AVG_LBS_PIECE.2022,HAPUUPUU_EST_LBS_KEPT.2022,HAPUUPUU_AVG_PRICE_LB.2022,HAPUUPUU_EST_VALUE.2022,LEHI_KEPT.2022,LEHI_AVG_LBS_PIECE.2022,LEHI_EST_LBS_KEPT.2022,LEHI_AVG_PRICE_LB.2022,LEHI_EST_VALUE.2022,YELLOW_KALEKALE_KEPT.2022,YELLOW_KALEKALE_AVG_LBS_PIECE.2022,YELLOW_KALEKALE_EST_LBS_KEPT.2022,YELLOW_KALEKALE_AVG_PRICE_LB.2022,YELLOW_KALEKALE_EST_VALUE.2022,UKU_KEPT.2022,UKU_AVG_LBS_PIECE.2022,UKU_EST_LBS_KEPT.2022,UKU_AVG_PRICE_LB.2022,UKU_EST_VALUE.2022,TAAPE_KEPT.2022,TAAPE_AVG_LBS_PIECE.2022,TAAPE_EST_LBS_KEPT.2022,TAAPE_AVG_PRICE_LB.2022,TAAPE_EST_VALUE.2022,WHITE_ULUA_KEPT.2022,WHITE_ULUA_AVG_LBS_PIECE.2022,WHITE_ULUA_EST_LBS_KEPT.2022,WHITE_ULUA_AVG_PRICE_LB.2022,WHITE_ULUA_EST_VALUE.2022,BLACK_ULUA_KEPT.2022,BLACK_ULUA_AVG_LBS_PIECE.2022,BLACK_ULUA_EST_LBS_KEPT.2022,BLACK_ULUA_AVG_PRICE_LB.2022,BLACK_ULUA_EST_VALUE.2022,BUTAGUCHI_KEPT.2022,BUTAGUCHI_AVG_LBS_PIECE.2022,BUTAGUCHI_EST_LBS_KEPT.2022,BUTAGUCHI_AVG_PRICE_LB.2022,BUTAGUCHI_EST_VALUE.2022,KAHALA_KEPT.2022,KAHALA_AVG_LBS_PIECE.2022,KAHALA_EST_LBS_KEPT.2022,KAHALA_AVG_PRICE_LB.2022,KAHALA_EST_VALUE.2022,ALL_SPECIES_KEPT.2022,ALL_SPECIES_AVG_LBS_PIECE.2022,ALL_SPECIES_EST_LBS_KEPT.2022,ALL_SPECIES_AVG_PRICE_LB.2022,ALL_SPECIES_EST_VALUE.2022,DEEP7_KEPT.2022,DEEP7_AVG_LBS_PIECE.2022,DEEP7_EST_LBS_KEPT.2022,DEEP7_AVG_PRICE_LB.2022,DEEP7_EST_VALUE.2022,NON_DEEP14_KEPT.2022,NON_DEEP14_AVG_LBS_PIECE.2022,NON_DEEP14_EST_LBS_KEPT.2022,NON_DEEP14_AVG_PRICE_LB.2022,NON_DEEP14_EST_VALUE.2022,DEEP8_14_KEPT.2022,DEEP8_14_AVG_LBS_PIECE.2022,DEEP8_14_EST_LBS_KEPT.2022,DEEP8_14_AVG_PRICE_LB.2022,DEEP8_14_EST_VALUE.2022,FISHING_DAYS.2021,DAYS_AT_SEA.2021,FISHERS.2021,VESSELS.2021,TRIPS.2021,HOURS_FISHED.2021,VESSEL.2021,ONAGA_KEPT.2021,ONAGA_AVG_LBS_PIECE.2021,ONAGA_EST_LBS_KEPT.2021,ONAGA_AVG_PRICE_LB.2021,ONAGA_EST_VALUE.2021,EHU_KEPT.2021,EHU_AVG_LBS_PIECE.2021,EHU_EST_LBS_KEPT.2021,EHU_AVG_PRICE_LB.2021,EHU_EST_VALUE.2021,OPAKAPAKA_KEPT.2021,OPAKAPAKA_AVG_LBS_PIECE.2021,OPAKAPAKA_EST_LBS_KEPT.2021,OPAKAPAKA_AVG_PRICE_LB.2021,OPAKAPAKA_EST_VALUE.2021,KALEKALE_KEPT.2021,KALEKALE_AVG_LBS_PIECE.2021,KALEKALE_EST_LBS_KEPT.2021,KALEKALE_AVG_PRICE_LB.2021,KALEKALE_EST_VALUE.2021,GINDAI_KEPT.2021,GINDAI_AVG_LBS_PIECE.2021,GINDAI_EST_LBS_KEPT.2021,GINDAI_AVG_PRICE_LB.2021,GINDAI_EST_VALUE.2021,HAPUUPUU_KEPT.2021,HAPUUPUU_AVG_LBS_PIECE.2021,HAPUUPUU_EST_LBS_KEPT.2021,HAPUUPUU_AVG_PRICE_LB.2021,HAPUUPUU_EST_VALUE.2021,LEHI_KEPT.2021,LEHI_AVG_LBS_PIECE.2021,LEHI_EST_LBS_KEPT.2021,LEHI_AVG_PRICE_LB.2021,LEHI_EST_VALUE.2021,YELLOW_KALEKALE_KEPT.2021,YELLOW_KALEKALE_AVG_LBS_PIECE.2021,YELLOW_KALEKALE_EST_LBS_KEPT.2021,YELLOW_KALEKALE_AVG_PRICE_LB.2021,YELLOW_KALEKALE_EST_VALUE.2021,UKU_KEPT.2021,UKU_AVG_LBS_PIECE.2021,UKU_EST_LBS_KEPT.2021,UKU_AVG_PRICE_LB.2021,UKU_EST_VALUE.2021,TAAPE_KEPT.2021,TAAPE_AVG_LBS_PIECE.2021,TAAPE_EST_LBS_KEPT.2021,TAAPE_AVG_PRICE_LB.2021,TAAPE_EST_VALUE.2021,WHITE_ULUA_KEPT.2021,WHITE_ULUA_AVG_LBS_PIECE.2021,WHITE_ULUA_EST_LBS_KEPT.2021,WHITE_ULUA_AVG_PRICE_LB.2021,WHITE_ULUA_EST_VALUE.2021,BLACK_ULUA_KEPT.2021,BLACK_ULUA_AVG_LBS_PIECE.2021,BLACK_ULUA_EST_LBS_KEPT.2021,BLACK_ULUA_AVG_PRICE_LB.2021,BLACK_ULUA_EST_VALUE.2021,BUTAGUCHI_KEPT.2021,BUTAGUCHI_AVG_LBS_PIECE.2021,BUTAGUCHI_EST_LBS_KEPT.2021,BUTAGUCHI_AVG_PRICE_LB.2021,BUTAGUCHI_EST_VALUE.2021,KAHALA_KEPT.2021,KAHALA_AVG_LBS_PIECE.2021,KAHALA_EST_LBS_KEPT.2021,KAHALA_AVG_PRICE_LB.2021,KAHALA_EST_VALUE.2021,ALL_SPECIES_KEPT.2021,ALL_SPECIES_AVG_LBS_PIECE.2021,ALL_SPECIES_EST_LBS_KEPT.2021,ALL_SPECIES_AVG_PRICE_LB.2021,ALL_SPECIES_EST_VALUE.2021,DEEP7_KEPT.2021,DEEP7_AVG_LBS_PIECE.2021,DEEP7_EST_LBS_KEPT.2021,DEEP7_AVG_PRICE_LB.2021,DEEP7_EST_VALUE.2021,NON_DEEP14_KEPT.2021,NON_DEEP14_AVG_LBS_PIECE.2021,NON_DEEP14_EST_LBS_KEPT.2021,NON_DEEP14_AVG_PRICE_LB.2021,NON_DEEP14_EST_VALUE.2021,DEEP8_14_KEPT.2021,DEEP8_14_AVG_LBS_PIECE.2021,DEEP8_14_EST_LBS_KEPT.2021,DEEP8_14_AVG_PRICE_LB.2021,DEEP8_14_EST_VALUE.2021
2011 - 2012,1003,7,7,1,1,7,69,HA3961,13,4.778301543180293,62.11792006134382,8.080810566953957,501.96314482890836,18,2.1081762114537446,37.947171806167404,5.8191925291919855,220.82189867841407,1,3.4084357826545837,3.4084357826545837,6.105843887030919,20.811376787858936,2,1.8043443282381337,3.6086886564762675,4.116534019975031,14.855289621882543,1,2.1641107078039927,2.1641107078039927,4.711713524959641,10.196669691470055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.674177215189875,17.674177215189875,1.8845057510778793,33.307088607594935,39,3.808878908346468,148.54627742551224,6.005645569985717,892.1162929583969,35,3.1213236289841735,109.24632701444607,7.035919656199449,768.648379608534,3,7.208591065292097,21.62577319587629,4.1691376269247264,90.16082474226805,1,17.674177215189875,17.674177215189875,1.884505751077879,33.307088607594935,7,7,1,1,7,69,HA3961,13,4.778301543180293,62.11792006134382,8.080810566953957,501.96314482890836,18,2.1081762114537446,37.947171806167404,5.8191925291919855,220.82189867841407,1,3.4084357826545837,3.4084357826545837,6.105843887030919,20.811376787858936,2,1.8043443282381337,3.6086886564762675,4.116534019975031,14.855289621882543,1,2.1641107078039927,2.1641107078039927,4.711713524959641,10.196669691470055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.674177215189875,17.674177215189875,1.8845057510778793,33.307088607594935,39,3.808878908346468,148.54627742551224,6.005645569985717,892.1162929583969,35,3.1213236289841735,109.24632701444607,7.035919656199449,768.648379608534,3,7.208591065292097,21.62577319587629,4.1691376269247264,90.16082474226805,1,17.674177215189875,17.674177215189875,1.884505751077879,33.307088607594935
2011 - 2012,1012,5,5,1,1,5,330,HA3059,3,4.778301543180293,14.33490462954088,8.080810566953957,115.83764880667114,90,2.1081762114537446,189.73585903083702,5.8191925291919855,1104.1094933920706,11,3.4084357826545837,37.49279360920042,6.105843887030919,228.9251446664483,39,1.8043443282381337,70.36942880128721,4.116534019975031,289.6781476267096,28,2.1641107078039927,60.5950998185118,4.711713524959641,285.50675136116155,3,9.150827374872318,27.452482124616957,5.069924519961691,139.18201225740552,0,0,0,0,0,0,0,0,0,0,37,8.485121244069584,313.9494860305746,4.50717790296202,1415.0261860832893,0,0,0,0,0,2,11.098620689655172,22.197241379310345,2.9482072950972475,65.44206896551724,0,0,0,0,0,0,0,0,0,0,17,17.674177215189875,300.46101265822784,1.8845057510778793,566.220506329114,255,4.3893695917315,1119.2892458915323,4.218078151801724,4721.2495136417,174,2.298738896632151,399.9805680139943,5.408360733251373,2163.2391981104665,25,3.30803751237701,82.70093780942524,6.182778184832611,511.32155415331283,56,11.367995358359156,636.6077400681128,3.2149919527509017,2046.6887613779204,5,5,1,1,5,330,HA3059,3,4.778301543180293,14.33490462954088,8.080810566953957,115.83764880667114,90,2.1081762114537446,189.73585903083702,5.8191925291919855,1104.1094933920706,11,3.4084357826545837,37.49279360920042,6.105843887030919,228.9251446664483,39,1.8043443282381337,70.36942880128721,4.116534019975031,289.6781476267096,28,2.1641107078039927,60.5950998185118,4.711713524959641,285.50675136116155,3,9.150827374872318,27.452482124616957,5.069924519961691,139.18201225740552,0,0,0,0,0,0,0,0,0,0,37,8.485121244069584,313.9494860305746,4.50717790296202,1415.0261860832893,0,0,0,0,0,2,11.098620689655172,22.197241379310345,2.9482072950972475,65.44206896551724,0,0,0,0,0,0,0,0,0,0,17,17.674177215189875,300.46101265822784,1.8845057510778793,566.220506329114,255,4.3893695917315,1119.2892458915323,4.218078151801724,4721.2495136417,174,2.298738896632151,399.9805680139943,5.408360733251373,2163.2391981104665,25,3.30803751237701,82.70093780942524,6.182778184832611,511.32155415331283,56,11.367995358359156,636.6077400681128,3.2149919527509017,2046.6887613779204
2011 - 2012,1055,2,2,1,1,1,40,1047869,2,4.778301543180293,9.556603086360585,8.080810566953957,77.22509920444742,26,2.1081762114537446,54.81258149779736,5.8191925291919855,318.96496475770925,0,0,0,0,0,8,1.8043443282381337,14.43475462590507,4.116534019975031,59.42115848753017,5,2.1641107078039927,10.820553539019963,4.711713524959641,50.98334845735027,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.3517933362846497,98.7753201239553,5.598448826071953,552.988574992839,42,2.3517933362846497,98.7753201239553,5.598448826071953,552.988574992839,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,40,1047869,2,4.778301543180293,9.556603086360585,8.080810566953957,77.22509920444742,26,2.1081762114537446,54.81258149779736,5.8191925291919855,318.96496475770925,0,0,0,0,0,8,1.8043443282381337,14.43475462590507,4.116534019975031,59.42115848753017,5,2.1641107078039927,10.820553539019963,4.711713524959641,50.98334845735027,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.3517933362846497,98.7753201239553,5.598448826071953,552.988574992839,42,2.3517933362846497,98.7753201239553,5.598448826071953,552.988574992839,0,0,0,0,0,0,0,0,0,0
2011 - 2012,1070,7,7,1,1,7,142,HA1162,0,0,0,0,0,1,2.1081762114537446,2.1081762114537446,5.8191925291919855,12.267883259911894,20,3.4084357826545837,68.16871565309167,6.105843887030919,416.22753575717866,21,1.8043443282381337,37.89123089300081,4.116534019975031,155.9805410297667,3,2.1641107078039927,6.492332123411978,4.711713524959641,30.590009074410162,8,9.150827374872318,73.20661899897854,5.069924519961691,371.1520326864147,1,8.663313032886723,8.663313032886723,4.554674956204359,39.45857490864799,0,0,0,0,0,1,8.485121244069584,8.485121244069584,4.50717790296202,38.24395097522403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.76892857142857,22.76892857142857,4.284739541668627,97.55892857142858,0,0,0,0,0,56,4.067579227291458,227.78443672832162,5.099029033525581,1161.4794562629827,54,3.639451609496731,196.53038691282347,5.218921067770031,1025.6765767163301,0,0,0,0,0,2,15.627024907749078,31.254049815498156,4.345129042422884,135.8028795466526,7,7,1,1,7,142,HA1162,0,0,0,0,0,1,2.1081762114537446,2.1081762114537446,5.8191925291919855,12.267883259911894,20,3.4084357826545837,68.16871565309167,6.105843887030919,416.22753575717866,21,1.8043443282381337,37.89123089300081,4.116534019975031,155.9805410297667,3,2.1641107078039927,6.492332123411978,4.711713524959641,30.590009074410162,8,9.150827374872318,73.20661899897854,5.069924519961691,371.1520326864147,1,8.663313032886723,8.663313032886723,4.554674956204359,39.45857490864799,0,0,0,0,0,1,8.485121244069584,8.485121244069584,4.50717790296202,38.24395097522403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.76892857142857,22.76892857142857,4.284739541668627,97.55892857142858,0,0,0,0,0,56,4.067579227291458,227.78443672832162,5.099029033525581,1161.4794562629827,54,3.639451609496731,196.53038691282347,5.218921067770031,1025.6765767163301,0,0,0,0,0,2,15.627024907749078,31.254049815498156,4.345129042422884,135.8028795466526
2011 - 2012,1136,2,2,1,1,2,28,562379,0,0,0,0,0,0,0,0,0,0,39,3.4084357826545837,132.92899552352876,6.105843887030919,811.6436947264984,0,0,0,0,0,0,0,0,0,0,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3.2708873563095877,143.91904367762186,6.067122208239065,873.1744260850276,40,3.5519955724600267,142.07982289840106,6.039124214181129,858.0376988123003,4,0.45980519480519483,1.8392207792207793,8.229967518712046,15.136727272727272,0,0,0,0,0,2,2,1,1,2,28,562379,0,0,0,0,0,0,0,0,0,0,39,3.4084357826545837,132.92899552352876,6.105843887030919,811.6436947264984,0,0,0,0,0,0,0,0,0,0,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3.2708873563095877,143.91904367762186,6.067122208239065,873.1744260850276,40,3.5519955724600267,142.07982289840106,6.039124214181129,858.0376988123003,4,0.45980519480519483,1.8392207792207793,8.229967518712046,15.136727272727272,0,0,0,0,0
2011 - 2012,1157,4,4,1,1,3,71,250340,6,4.778301543180293,28.66980925908176,8.080810566953957,231.67529761334228,5,2.1081762114537446,10.540881057268724,5.8191925291919855,61.33941629955948,6,3.4084357826545837,20.450614695927506,6.105843887030919,124.86826072715363,1,1.8043443282381337,1.8043443282381337,4.116534019975031,7.427644810941271,3,2.1641107078039927,6.492332123411978,4.711713524959641,30.590009074410162,3,9.150827374872318,27.452482124616957,5.069924519961691,139.18201225740552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7.6761543761359885,230.28463128407967,4.940830054517631,1137.797227341892,24,3.975435982856044,95.41046358854506,6.237079439725704,595.0826407828123,6,22.479027949255766,134.8741676955346,4.0238586516003965,542.7145865590796,0,0,0,0,0,4,4,1,1,3,71,250340,6,4.778301543180293,28.66980925908176,8.080810566953957,231.67529761334228,5,2.1081762114537446,10.540881057268724,5.8191925291919855,61.33941629955948,6,3.4084357826545837,20.450614695927506,6.105843887030919,124.86826072715363,1,1.8043443282381337,1.8043443282381337,4.116534019975031,7.427644810941271,3,2.1641107078039927,6.492332123411978,4.711713524959641,30.590009074410162,3,9.150827374872318,27.452482124616957,5.069924519961691,139.18201225740552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7.6761543761359885,230.28463128407967,4.940830054517631,1137.797227341892,24,3.975435982856044,95.41046358854506,6.237079439725704,595.0826407828123,6,22.479027949255766,134.8741676955346,4.0238586516003965,542.7145865590796,0,0,0,0,0
2011 - 2012,1191,5,5,1,1,5,142,HA8585,22,4.778301543180293,105.12263394996644,8.080810566953957,849.4760912489216,20,2.1081762114537446,42.163524229074895,5.8191925291919855,245.35766519823792,0,0,0,0,0,64,1.8043443282381337,115.47803700724056,4.116534019975031,475.36926790024137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2.4360102881736303,306.9372963098774,6.339568932601847,1945.8501479429065,106,2.478907501757376,262.7641951862819,5.975711505268951,1570.203024347401,20,2.208655056179775,44.1731011235955,8.503978983600268,375.64712359550555,0,0,0,0,0,5,5,1,1,5,142,HA8585,22,4.778301543180293,105.12263394996644,8.080810566953957,849.4760912489216,20,2.1081762114537446,42.163524229074895,5.8191925291919855,245.35766519823792,0,0,0,0,0,64,1.8043443282381337,115.47803700724056,4.116534019975031,475.36926790024137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2.4360102881736303,306.9372963098774,6.339568932601847,1945.8501479429065,106,2.478907501757376,262.7641951862819,5.975711505268951,1570.203024347401,20,2.208655056179775,44.1731011235955,8.503978983600268,375.64712359550555,0,0,0,0,0
2011 - 2012,1206,1,1,1,1,1,42,HA6316,0,0,0,0,0,8,2.1081762114537446,16.865409691629957,5.8191925291919855,98.14306607929515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.485121244069584,16.970242488139167,4.50717790296202,76.48790195044806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.284930586312004,36.134236449432045,5.378534508807071,194.34923769266456,8,2.1081762114537446,16.865409691629957,5.8191925291919855,98.14306607929515,1,2.2985842696629213,2.2985842696629213,8.578441053115252,19.718269662921344,2,8.485121244069584,16.970242488139167,4.50717790296202,76.48790195044806,1,1,1,1,1,42,HA6316,0,0,0,0,0,8,2.1081762114537446,16.865409691629957,5.8191925291919855,98.14306607929515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.485121244069584,16.970242488139167,4.50717790296202,76.48790195044806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.284930586312004,36.134236449432045,5.378534508807071,194.34923769266456,8,2.1081762114537446,16.865409691629957,5.8191925291919855,98.14306607929515,1,2.2985842696629213,2.2985842696629213,8.578441053115252,19.718269662921344,2,8.485121244069584,16.970242488139167,4.50717790296202,76.48790195044806
2011 - 2012,1222,22,22,1,1,11,340,1101530,1,4.778301543180293,4.778301543180293,8.080810566953957,38.61254960222371,24,2.1081762114537446,50.59622907488987,5.8191925291919855,294.4291982378855,483,3.4084357826545837,1646.2744830221638,6.105843887030919,10051.894988535865,52,1.8043443282381337,93.82590506838295,4.116534019975031,386.2375301689461,1,2.1641107078039927,2.1641107078039927,4.711713524959641,10.196669691470055,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,81,8.485121244069584,687.2948207696362,4.50717790296202,3097.760028993147,44,0.6064877300613497,26.68546012269939,1.9000897756872264,50.70476993865031,12,11.098620689655172,133.18344827586205,2.9482072950972475,392.6524137931034,0,0,0,0,0,0,0,0,0,0,7,17.674177215189875,123.71924050632911,1.8845057510778793,233.14962025316453,722,4.064006737400317,2934.212864403029,5.174097545319276,15181.903579151953,562,3.214928570803013,1806.7898567912932,5.992819197884691,10827.764940322193,16,9.78375237107556,156.54003793720895,3.7043034708110363,579.8718058516944,144,6.742242844961991,970.8829696745267,3.8874580674160235,3774.2668329780654,22,22,1,1,11,340,1101530,1,4.778301543180293,4.778301543180293,8.080810566953957,38.61254960222371,24,2.1081762114537446,50.59622907488987,5.8191925291919855,294.4291982378855,483,3.4084357826545837,1646.2744830221638,6.105843887030919,10051.894988535865,52,1.8043443282381337,93.82590506838295,4.116534019975031,386.2375301689461,1,2.1641107078039927,2.1641107078039927,4.711713524959641,10.196669691470055,1,9.150827374872318,9.150827374872318,5.069924519961691,46.39400408580184,0,0,0,0,0,0,0,0,0,0,81,8.485121244069584,687.2948207696362,4.50717790296202,3097.760028993147,44,0.6064877300613497,26.68546012269939,1.9000897756872264,50.70476993865031,12,11.098620689655172,133.18344827586205,2.9482072950972475,392.6524137931034,0,0,0,0,0,0,0,0,0,0,7,17.674177215189875,123.71924050632911,1.8845057510778793,233.14962025316453,722,4.064006737400317,2934.212864403029,5.174097545319276,15181.903579151953,562,3.214928570803013,1806.7898567912932,5.992819197884691,10827.764940322193,16,9.78375237107556,156.54003793720895,3.7043034708110363,579.8718058516944,144,6.742242844961991,970.8829696745267,3.8874580674160235,3774.2668329780654
2011 - 2012,1325,9,9,1,1,9,244.5,HA3299,29,4.778301543180293,138.57074475222848,8.080810566953957,1119.7639384644876,2,2.1081762114537446,4.216352422907489,5.8191925291919855,24.535766519823788,61,3.4084357826545837,207.91458274192962,6.105843887030919,1269.493984059395,31,1.8043443282381337,55.93467417538214,4.116534019975031,230.2569891391794,0,0,0,0,0,4,9.150827374872318,36.60330949948927,5.069924519961691,185.57601634320736,0,0,0,0,0,0,0,0,0,0,1,8.485121244069584,8.485121244069584,4.50717790296202,38.24395097522403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.674177215189875,35.34835443037975,1.8845057510778793,66.61417721518987,130,3.7467164558952795,487.0731392663863,6.0247313722459275,2934.484822716507,127,3.4900760912750948,443.239663591937,6.3839654411685345,2829.626694526093,0,0,0,0,0,3,14.611158558149777,43.83347567444933,2.392192874897576,104.85812819041391,9,9,1,1,9,244.5,HA3299,29,4.778301543180293,138.57074475222848,8.080810566953957,1119.7639384644876,2,2.1081762114537446,4.216352422907489,5.8191925291919855,24.535766519823788,61,3.4084357826545837,207.91458274192962,6.105843887030919,1269.493984059395,31,1.8043443282381337,55.93467417538214,4.116534019975031,230.2569891391794,0,0,0,0,0,4,9.150827374872318,36.60330949948927,5.069924519961691,185.57601634320736,0,0,0,0,0,0,0,0,0,0,1,8.485121244069584,8.485121244069584,4.50717790296202,38.24395097522403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.674177215189875,35.34835443037975,1.8845057510778793,66.61417721518987,130,3.7467164558952795,487.0731392663863,6.0247313722459275,2934.484822716507,127,3.4900760912750948,443.239663591937,6.3839654411685345,2829.626694526093,0,0,0,0,0,3,14.611158558149777,43.83347567444933,2.392192874897576,104.85812819041391
